id_bien;id_commune;numero_voie;btq;type_voie;voie;code_postal;surface_carrez;surface_reelle_bati;nombre_pieces_principales;code_type_local
17987;04096;8;;MTE;DU CHASTEL;04850;35.65;46;2;2
17988;06018;495;;RTE;DE LA MER;06410;82.46;82;3;2
17989;06083;3;;RUE;DE LA COTE;06500;29.7;29;1;2
17990;06088;8;;RUE;SORGENTINO;06300;34.93;36;2;2
17991;07010;16;;RUE;DU PILAT;07100;79.12;82;5;2
17992;11069;63;;RUE;DE LA REPUBLIQUE;11000;94.2;96;3;2
17993;11170;32;;RUE;DU BEAUPRE;11430;31.75;36;2;2
17994;11202;44;;AV;DU LANGUEDOC LA FRANQUI;11370;34.05;35;2;2
17995;11202;171;;RES;HAWAI;11370;17.04;26;2;1
17996;13204;62;;RUE;ALBE;13004;101.98;49;2;1
17997;13212;89;;AV;DES BUTRIS;13012;19.76;20;1;2
17998;13212;32;;BD;GAROUTTE;13012;21.92;20;1;2
17999;17299;59;;AV;CHARLES DE GAULLE;17300;28.01;28;2;2
18000;17299;35;;RUE;AUDRY DE PUYRAVAULT;17300;294.33;251;5;2
18001;19031;7;;RUE;DE LA CONCORDE;19100;15.95;16;1;2
18002;25056;1;;RUE;FELIX GIACOMOTTI;25000;30.53;30;1;2
18003;25527;40;;RUE;CHARLES DE GAULLE;25410;72.18;76;3;2
18004;26362;80;;AV;VICTOR HUGO;26000;83.79;85;4;2
18005;2B185;5273;;LOT;VICCIOLAJA;20232;59.1;49;3;1
18006;31555;37;B;AV;HONORE SERRES;31000;63.76;67;2;2
18007;33058;11;;RUE;TOUVENT;33390;35.86;36;2;2
18008;33063;29;;RUE;PUYSEGUR;33800;18.38;19;1;2
18009;33281;8;;RUE;DES CEPAGES;33700;84.05;88;5;2
18010;33284;2;;PL;DU ONZE NOVEMBRE;33380;48.87;49;2;2
18011;35093;12;;RUE;DES VERGERS;35800;65.61;65;3;2
18012;35228;9013;;IMP;CLEMENT ADER;35730;87.66;85;4;1
18013;38052;6;;;MAS DU PLAN;38520;141.6;154;6;1
18014;38158;1;;PL;DES TILLEULS;38320;68.01;69;4;2
18015;38185;4;;BD;JOSEPH VALLIER;38000;122.2;115;4;2
18016;38517;40;;RUE;GEN DE GAULLE;38210;77.2;97;2;2
18017;38547;12;B;BD;DE LA LIBERATION;38190;58.18;63;3;2
18018;38565;67;;ALL;JEAN PAIN;38340;82.24;82;4;2
18019;42218;8;;RUE;VISITATION;42000;57.46;62;3;2
18020;42305;50;B;RUE;VICTOR HUGO;42350;92;92;4;2
18021;44055;1;;ALL;DE LA GUILLERAIE;44500;44.75;49;2;2
18022;48092;2;B;BD;SAINT DOMINIQUE;48100;27.83;32;1;2
18023;56007;13;;RUE;DU MAL FOCH;56400;28.33;43;2;2
18024;56083;36;;RUE;SIMONE DE BEAUVOIR;56700;49.5;49;2;2
18025;56121;42;;RUE;RATIER;56100;62.07;57;3;2
18026;56186;8;;RUE;DU FORT NEUF;56170;30;31;1;2
18027;59009;10;;ALL;VAUBAN;59650;88.64;80;3;2
18028;59090;40;;RES;BELLEVUE;59910;43.49;37;2;1
18029;59599;19;;RUE;DE ROCHDALE;59200;43.73;45;2;2
18030;59606;13;;RUE;HENRY DERYCKE LES TERTIALE;59300;27.12;27;1;2
18031;69386;38;;RUE;NOTRE DAME;69006;29.12;28;2;2
18032;74014;276;;RTE;DES GRANGETTES;74300;25.82;36;2;2
18033;74225;35;;RTE;DU BOUCHET;74150;31.75;31;1;2
18034;74256;1207;;RTE;DU ROSAY;74700;117;117;5;2
18035;75106;12;;RUE;NOTRE DAME DES CHAMPS;75006;46.27;54;3;2
18036;75107;94;;RUE;DE SEVRES;75007;37.14;45;2;2
18037;75108;40;;CRS;ALBERT 1ER;75008;96.1;83;3;2
18038;75109;52;;RUE;NOTRE DAME DE LORETTE;75009;107.45;107;4;2
18039;75109;9;;RUE;PAPILLON;75009;57.4;60;4;2
18040;75111;84;;RUE;DE LA FOLIE MERICOURT;75011;41.84;42;2;2
18041;75111;52;;RUE;BASFROI;75011;57.1;57;2;2
18042;75112;103;;RUE;DE PICPUS;75012;23.57;25;1;2
18043;75112;11;;RUE;D ALIGRE;75012;14.87;20;1;2
18044;75113;121;;BD;DE L HOPITAL;75013;47.15;54;1;2
18045;75115;9;;RUE;NICOLAS CHARLET;75015;32.35;35;2;2
18046;75118;5;B;IMP;MARIE BLANCHE;75018;82.82;80;3;2
18047;75119;14;;RUE;DE THIONVILLE;75019;27.88;28;1;2
18048;76351;4;;RUE;JEANNE D ARC;76600;45.3;42;2;2
18049;76758;16;;AV;MAL LECLERC;76190;48.3;48;2;2
18050;77326;82;;PROM;DU BOIS;77176;77.27;78;4;2
18051;78172;18;;RUE;ROSALIE LEVASSEUR;78700;108.23;109;5;1
18052;78362;2;B;RUE;CONSTANT GAUTIER;78711;24.28;26;1;2
18053;78401;26;;RUE;DES TANNERIES;78250;49.55;53;3;2
18054;78440;33;;RUE;PAUL CURIEN;78130;31;31;1;2
18055;78481;12;;AV;CHARLES DE GAULLE;78230;95.49;98;4;1
18056;78490;22;;RUE;DES EBISOIRES;78370;44.91;46;2;2
18057;80182;35;T;RUE;FLORENT TRIQUET;80410;48.78;51;3;2
18058;83050;9001;;RUE;TETE DE BOEUF;83300;74.08;74;4;2
18059;83126;78;;RUE;DES FRERES LUMIERE;83500;61.59;64;4;2
18060;83137;1865;;AV;JOSEPH GASQUET;83100;63.34;68;4;1
18061;84069;5617;;GR;GRANDE RUE;84340;50.5;50;3;2
18062;85146;29;;RUE;FRANCOIS TRUFFAUT;85600;102.14;103;6;1
18063;85191;46;;RUE;HENRI DUNANT;85000;37.91;37;2;2
18064;85226;7;;CHE;DE BELLEVUE;85270;38.47;40;2;1
18065;85234;39;;RUE;DE LA GARENNE;85160;28.79;35;2;2
18066;91103;10;;PL;FEDERICO GARCIA LORCA;91220;44.44;44;2;2
18067;91315;40;B;CHE;DES MARAIS;91760;156.09;80;3;1
18068;91345;10;;ALL;DE L'ABREUVOIR;91160;22.65;24;1;2
