id_commune;population_municipale;population_comptee_a_part;population_totale
02636;199;5;204
02637;293;10;303
02638;237;1;238
02639;346;7;353
02640;157;4;161
02641;111;4;115
02642;173;3;176
02643;769;8;777
02644;346;13;359
02645;192;9;201
02647;60;0;60
02648;1937;38;1975
02649;307;4;311
02650;357;6;363
02651;106;1;107
02652;104;1;105
02653;500;13;513
02654;82;1;83
02655;135;0;135
02656;394;10;404
02657;250;4;254
02658;236;8;244
02659;504;13;517
02660;38;2;40
02661;254;3;257
02662;322;9;331
02663;221;5;226
02664;123;3;126
02665;300;5;305
02666;1002;17;1019
02667;203;6;209
02668;1057;21;1078
02670;151;0;151
02671;287;5;292
02672;261;4;265
02673;444;7;451
02674;48;0;48
02675;133;1;134
02676;1716;40;1756
02677;240;3;243
02678;68;0;68
02679;150;4;154
02680;2294;37;2331
02681;279;5;284
02682;114;3;117
02683;110;3;113
02684;3314;57;3371
02685;120;1;121
02686;373;4;377
02687;333;9;342
02688;48;4;52
02689;41;1;42
02690;80;1;81
02691;53570;1281;54851
02693;221;3;224
02694;641;10;651
02695;81;0;81
02696;76;3;79
02697;384;5;389
02698;101;2;103
02699;280;3;283
02701;708;8;716
02702;602;22;624
02703;1083;13;1096
02704;247;4;251
02705;210;6;216
02706;566;11;577
02707;181;0;181
02708;215;8;223
02709;407;8;415
02710;742;18;760
02711;293;7;300
02712;142;3;145
02713;270;4;274
02714;358;2;360
02715;45;3;48
02716;290;5;295
02717;590;13;603
02718;121;3;124
02719;2028;41;2069
02720;2034;74;2108
02721;476;2;478
02722;28712;651;29363
02723;98;1;99
02724;61;1;62
02725;139;6;145
02726;181;3;184
02727;221;3;224
02728;264;4;268
02729;81;1;82
02730;267;6;273
02731;171;2;173
02732;104;0;104
02734;274;6;280
02735;17;0;17
02736;167;5;172
02737;552;12;564
02738;13588;200;13788
02739;335;7;342
02740;221;6;227
02741;539;5;544
02742;114;0;114
02743;158;1;159
02744;72;2;74
02745;121;1;122
02746;658;8;666
02747;83;0;83
02748;939;24;963
02749;219;7;226
02750;583;8;591
02751;144;2;146
02752;281;5;286
02753;328;4;332
02754;185;3;188
02755;589;10;599
02756;684;12;696
02757;529;8;537
02758;2012;37;2049
02759;370;3;373
02760;142;3;145
02761;211;4;215
02762;139;5;144
02763;219;4;223
02764;88;3;91
02765;246;10;256
02766;235;6;241
02767;322;3;325
02768;542;6;548
02769;898;14;912
02770;788;20;808
02772;160;1;161
02773;39;0;39
02774;118;1;119
02775;936;17;953
02776;558;12;570
02777;142;7;149
02778;97;1;98
02779;219;3;222
02780;1378;17;1395
02781;453;16;469
02782;220;2;222
02783;138;0;138
02784;138;0;138
02785;1100;30;1130
02786;127;2;129
02787;258;2;260
02788;460;7;467
02789;2587;96;2683
02790;238;3;241
02791;259;6;265
02792;157;7;164
02793;119;1;120
02794;188;4;192
02795;1618;18;1636
02796;83;0;83
02797;172;1;173
02798;1221;19;1240
02799;407;9;416
02800;313;5;318
02801;272;3;275
02802;209;0;209
02803;146;5;151
02804;186;3;189
02805;2549;44;2593
02806;294;5;299
02807;656;24;680
02808;289;5;294
02809;69;3;72
02810;10424;417;10841
02812;207;6;213
02813;252;8;260
02814;162;0;162
02815;430;17;447
02816;531;6;537
02817;82;1;83
02818;1166;11;1177
02819;116;1;117
02820;1688;43;1731
02821;680;21;701
02822;391;12;403
02823;74;0;74
02824;375;8;383
02826;356;7;363
02827;312;5;317
02828;94;0;94
02829;42;1;43
02830;955;16;971
02831;379;6;385
02832;189;5;194
02833;508;7;515
02834;169;6;175
03001;2904;60;2964
03002;309;12;321
03003;987;27;1014
03004;253;7;260
03005;338;3;341
03006;633;17;650
03007;357;7;364
03008;372;14;386
03009;135;36;171
03010;424;13;437
03011;421;9;430
03012;323;5;328
03013;3953;96;4049
03014;136;3;139
03015;328;11;339
03016;143;2;145
03017;189;6;195
03018;685;14;699
03019;1640;24;1664
03020;294;7;301
03021;224;2;226
03022;997;17;1014
03023;8741;231;8972
03024;237;6;243
03025;1328;31;1359
03026;761;18;779
03027;928;24;952
03028;364;7;371
03029;783;12;795
03030;856;15;871
